"ID","egg_date","egg_min","fledge_min","egg1","egg2","egg3","egg4","nests","Site","clutch","ARCA","BARE","BLAD","BRSP","ENCA","ERFA","EXGR","FAKE","MALA","NAGR","OPLI","RHIN","SANI","TOYON","exotic","native","native.all","Acarina_canopy","Araneae_canopy","Auchenorrhyncha_canopy","Chilopoda_canopy","Coleoptera_canopy","Dermaptera_canopy","Diptera_canopy","Entomobryomorpha_canopy","Heteroptera_canopy","Hymenoptera_canopy","Isopoda_canopy","Lepidoptera_canopy","Neuroptera_canopy","Opiliones_canopy","Orthoptera_canopy","Psocoptera_canopy","Sternorrhyncha_canopy","Thysanoptera_canopy","Thysanura_canopy","Acarina_ground","Araneae_ground","Auchenorrhyncha_ground","Chilopoda_ground","Coleoptera_ground","Dermaptera_ground","Diptera_ground","Entomobryomorpha_ground","Heteroptera_ground","Hymenoptera_ground","Isopoda_ground","Lepidoptera_ground","Neuroptera_ground","Opiliones_ground","Orthoptera_ground","Psocoptera_ground","Sternorrhyncha_ground","Thysanoptera_ground","Thysanura_ground","PC1_canopy_prey_prop","PC2_canopy_prey_prop","PC1_ground_prey_prop","PC2_ground_prey_prop","PC1_veg","PC2_veg","prey_canopy","prey_ground"
"BC_2",100,7,7,4,3,NA,NA,2,"BC",3.5,0.0905574988755452,0.105919852744259,0,0.108094460510821,0,0.0372749983731731,0.489655335298844,0,0.0378975204405396,0.0226358310464383,0.0406457262248672,0.0484459192083854,0.0188728572771273,0,0.597749795809665,0.258432831005536,0.296330351446076,74578.9226573185,918645.842618208,1035191.86071922,0,583165.80564335,9865.81852533348,234431.213870806,657.290971069609,539925.250737439,804610.582181422,1053.22051547239,48315.0602271007,15450.5004161661,195.161555423262,40707.1546676969,4354.56721660453,694046.250147679,1625.9678037977,9149.70086731599,26599.9111604477,869975.904538007,74916.7504869583,0,1060866.30432204,69477.4341589335,193026.375229651,9666.6636931787,97516.4572771815,1266666.36380884,587893.36013446,2809.94422605328,473.786797283327,49867.901552363,282318.54656209,723.876469013109,15992.0502593569,321.838326827358,6182.93980676766,-0.205066858157741,-0.104848704090784,-0.111461166375754,-0.0501984508578369,-0.0749640911527584,-0.135341018981999,1826.31829754263,2996.8904350123
"BC_4",106,5,1,3,2,NA,NA,2,"BC",2.5,0.324607731423925,0.0678501687859517,0,0.0361478996527791,0,0.0623890404962935,0.149018796704793,0,0.170287768566083,0.043750205788972,0.091721361195275,0.0459700770428975,0.00825695034303007,0,0.185166696357572,0.576695366290393,0.746983134856476,14226.1726160252,355393.91017179,1198271.29325289,0,260213.90802516,0,81683.5398434721,112.410331963148,493424.336476374,1851105.26804455,0,100341.273606766,14607.9011355826,715.517788790728,22392.7407192913,6501.79987903656,136319.260616058,114.747096010107,732.639741398726,10913.7671251286,380934.874530827,100310.013045715,2368.88417848816,1288310.27017248,26343.2287298746,49372.8528558301,1892.8473618469,26518.5847507363,5751546.10720193,470202.775378379,16421.4340789024,8545.98407677908,668.9741987731,753131.667979648,353.500208146691,6569.64465666855,156.724528978583,9.68860314632722,-0.0965077324131983,-0.109435316990249,-0.132079551620573,-0.227435767330611,0.262281512834329,0.0297578092261898,820.025372366479,2958.37387499607
"BC_5",123,4,3,4,NA,NA,NA,1,"BC",4,0.207404250666672,0.0627347736445345,0,0.0270816227185762,0,0.164977926660692,0.172322873584645,0,0.218039807973743,0.0305809865718234,0.0496197095852869,0.0526159375711225,0.0146221110229063,0,0.199404496303221,0.519820922078502,0.737860730052245,22060.3048388691,259089.852508565,452591.523486591,0,251236.775336773,0,54477.773720714,573.287654183755,531733.738128783,2611352.54284033,0,4274.72805127881,12657.2226658832,0,363259.512354035,2165.21982804447,23826.7698104076,44.0437188513855,0,75151.3627388762,1318283.54128103,118574.277684837,0,2705338.85186873,66878.6421674226,130351.17958426,1165.98575716511,19182.7445454987,1426460.95965155,1294608.38331233,10975.5719260431,1248.17843375473,699.963507581139,531083.095265562,173.572221859648,4612.38112092974,101.816817842583,3201.18021597164,-0.248923747330891,-0.0729836289447135,-0.0861111338841824,-0.135027782940728,0.214167974187765,0.00694941828297391,932.338641971365,5990.64062323796
"SCR_1",130,7,0,4,3,NA,NA,2,"SCR",3.5,0.162304950460207,0.0414111892822522,0.0655000863298471,0.0191356885003017,0.0643098010609059,0.0860477246314965,0.178387278285402,0.172550982412332,0,0.0351884559078262,0.0409796125448319,0.0431309918738128,0.0910532387107843,0,0.197522966785704,0.458704974128959,0.524205060458806,3868.74270283538,265293.482687982,391458.148180441,0,451162.250790379,0,160381.636406644,172.163837758091,350180.424471048,6078272.10588811,3187.78662761729,20937.6425949225,7157.79448242277,0,160198.080394802,4309.70042758789,889855.384515526,113.591400104591,0,4709.00649553538,1061039.8806058,35058.9187175311,0,2958616.1512201,23866.5216380799,200286.453870422,814.162055183076,33210.8858680518,26218075.7091443,11595651.0137876,3187.35500230449,0,479408.098976743,814385.414859988,60.0265703229766,2173.24181191732,10576.2742658807,5687.87785403279,-0.133449040521114,0.0865193611306832,0.460357405038446,-0.0191453458419696,-0.014783416983164,0.144028527482638,1061.16087950235,16633.1662693462
"SCR_5",106,2,2,NA,NA,NA,NA,1,"SCR",2,0.0371599105394894,0.0783948635030246,0.0382411749262825,0.0878488697786786,0.130806792930886,0.0167839379602645,0.222800256161397,0.279615516784377,0,0,0.0455331585273165,0.0246237359212668,0.0381917829670173,0,0.310649125940076,0.162292525915355,0.200533700841637,3780.31761190942,137254.541655388,58462.1978459542,0,673621.021071134,0,117849.89659837,2484.80434457309,1682762.5822485,568201.778267383,0,33361.0454559788,2023.6069982467,0,21140.0344901196,2449.99598657883,591755.347134755,696.545079168045,0,64866.6073580129,786719.766401885,58744.5040664737,0,1500553.44476977,165760.6785417,76331.6870019551,369.233399174161,61861.5461407752,5315338.57573356,2832247.10886481,599460.969429248,0,37810.1826762538,15102.8346033564,31.9245775173219,3554.58211931028,24210.4013638371,6743.65733566647,-0.0129988829797153,0.355307896070528,0.229661994527054,0.0361737380365568,-0.184635997956733,0.158999407684983,983.226539270991,5810.41581107102
"UCI_3",75,4,0,4,NA,NA,NA,1,"UCI",4,0.0271627556734787,0.043602848065098,0,0.0561282633282225,0,0.1459531934518,0.296846469865334,0.231629353768147,0.0446257928195938,0.0137044753211051,0.0745612312500133,0.00633049102266327,0.0148293326149497,0.0446257928195938,0.352974733193557,0.28254147933401,0.371793064973198,7297.50592470754,196694.157162328,263818.162803662,0,505624.568037422,21965.6490379261,68875.7370391532,1528.69105565933,195593.231702896,1408601.57843813,30862.9780623677,419004.782595559,596.374001346284,12154.9454802059,17353.3582444934,1207.01157469713,577935.973439962,18.5910172699303,0,5154.86104798121,1592854.37779516,62185.0264195288,0,450983.540847764,138094.192335776,55408.7969249323,392.180996575681,32274.9886518894,2178796.51142478,694607.312966963,858981.533588626,0,30.3960241168012,145491.998640731,1454.2886809939,8966.49950632092,177.634679537411,8777.91153370261,0.216199673387388,0.0140781619010507,-0.127693633314256,0.293575569124336,-0.141390934677269,0.0540405364748729,1238.41558114132,3798.32756076417
"UCI_5",104,7,3,3,4,NA,NA,2,"UCI",3.5,0,0.0284749853207419,0,0.256058298564623,0,0.14751228165839,0.220771443478816,0,0,0.0709254259686962,0.246213520606312,0.000983281680854629,0.0290607627215669,0,0.476829742043439,0.494695272635819,0.494695272635819,19381.370284207,285124.02268687,336556.180430135,0,965397.149156601,0,286933.778913607,602.303934688155,833700.419199749,1604498.45026554,39.0619720150079,1338789.87007582,0,0,87160.7366270726,694.394931446304,800345.043726558,0,14025.351923585,7767.63517283737,1567593.74786002,167450.860974034,335.034071436095,2186810.58830998,1893172.00773322,183093.14930869,8130.03633241234,111623.296684409,1504304.80667132,1299323.53593681,1704922.91794572,0,8604.62558280326,15520.2342242174,2035.4661271837,9387.87976992711,6130.37047697413,6230.72915992243,0.327126049512925,-0.064566506154683,-0.0964035187699887,0.116362310165065,-0.0837473640381858,-0.240131726124695,2963.44461943198,6957.26417358543
"UCI_1",52,15,6,4,4,4,3,4,"UCI",3.75,0.111979399225253,0.0913649129945094,0.0261434017122826,0.136285419765003,0.0814755687092601,0.123806646181942,0.0883886985178469,0.055522894225155,0,0.0979424271417375,0.126726394281851,0.0309090949563498,0.0294551422888099,0,0.224674118282849,0.520819104075943,0.546962505788226,11277.0606902938,320363.84472955,174689.215194433,0,390022.145029858,0,196278.825783725,4810.0880779147,623519.621707127,923331.353109814,0,414226.308781481,1437.90347974788,0,4885.25179520909,3208.11559556984,449436.385646822,123.631557198262,5559.28680798618,27270.7201852371,1527515.83802,68648.877340535,10406.6163933815,1470901.97136218,81112.9594992601,939156.306079096,39792.6531195686,48595.4918753995,1151691.25834258,969674.872019711,286999.340401155,0,1431.00430261891,1228052.91869159,604.657456428692,2259.9110048223,217.309953491131,6917.9561869376,0.153620538502346,-0.104071262921832,-0.136270395600747,-0.0143042703548123,0.0230723177860154,-0.0183029540449644,1325.77637611982,6422.30124657374
