"","Site","ID","egg_date","egg_min","fledge_min","egg1","egg2","egg3","egg4","nests","clutch"
"1","BC","BC_2",100,7,7,4,3,NA,NA,2,3.5
"2","BC","BC_4",106,5,1,3,2,NA,NA,2,2.5
"3","BC","BC_5",123,4,3,4,NA,NA,NA,1,4
"4","SCR","SCR_1",130,7,0,4,3,NA,NA,2,3.5
"5","SCR","SCR_5",106,2,2,NA,NA,NA,NA,1,2
"6","UCI","UCI_3",75,4,0,4,NA,NA,NA,1,4
"7","UCI","UCI_5",104,7,3,3,4,NA,NA,2,3.5
"8","UCI","UCI_1",52,15,6,4,4,4,3,4,3.75
